aX,aY,aZ
-62.5,-93.7,734.0
327.9,-62.5,780.8
390.4,46.8,749.6
327.9,-124.9,921.3
-46.8,-46.8,1061.9
-265.5,-156.2,1046.3
-484.1,31.2,1171.2
-78.1,-62.5,1046.3
93.7,171.8,905.7
452.9,78.1,999.4
374.8,109.3,1015.0
140.5,-15.6,1155.6
-265.5,-62.5,827.6
-359.2,-109.3,858.9
-109.3,-156.2,780.8
-15.6,-15.6,937.0
437.2,-78.1,1077.5
452.9,78.1,1046.3
281.1,-62.5,1249.3
-234.2,62.5,1140.0
-312.3,-93.7,1233.7
-281.1,0.0,1155.6
-62.5,-46.8,812.0
312.3,93.7,905.7
437.2,93.7,858.9
374.8,-15.6,812.0
124.9,-15.6,890.1
-265.5,-78.1,780.8
-390.4,-78.1,827.6
-156.2,-171.8,999.4
0.0,-15.6,858.9
437.2,-78.1,1030.7
390.4,62.5,952.6
281.1,-124.9,1218.0
-203.0,62.5,1233.7
-265.5,-109.3,1249.3
-249.9,-15.6,1124.4
-62.5,-78.1,796.4
312.3,78.1,718.3
421.6,46.8,812.0
374.8,15.6,874.5
124.9,0.0,952.6
-265.5,-62.5,874.5
-390.4,-109.3,843.3
-124.9,-171.8,1030.7
15.6,-15.6,1140.0
452.9,15.6,1046.3
390.4,78.1,1077.5
171.8,-62.5,1264.9
-249.9,93.7,1249.3
-296.7,-93.7,1015.0
-249.9,-15.6,780.8
-62.5,-78.1,812.0
327.9,62.5,640.3
421.6,46.8,796.4
374.8,0.0,827.6
124.9,-15.6,890.1
-296.7,-62.5,812.0
-406.0,-46.8,905.7
-93.7,-187.4,983.8
15.6,-15.6,937.0
452.9,-62.5,1046.3
437.2,93.7,1030.7
265.5,-62.5,1264.9
-249.9,78.1,1124.4
-296.7,-124.9,1233.7
-265.5,0.0,1093.1
-78.1,-93.7,812.0
312.3,62.5,796.4
437.2,46.8,749.6
374.8,0.0,812.0
109.3,-31.2,1061.9
-265.5,-109.3,843.3
-421.6,-46.8,921.3
