aX,aY,aZ
-78.1,-93.7,1124.4
-93.7,78.1,874.5
-15.6,-15.6,952.6
109.3,-62.5,890.1
187.4,156.2,983.8
62.5,-140.5,1015.0
-46.8,15.6,1155.6
-218.6,109.3,952.6
62.5,-78.1,968.2
46.8,109.3,937.0
140.5,-171.8,1124.4
234.2,-156.2,983.8
-31.2,109.3,1093.1
-234.2,31.2,937.0
-15.6,-93.7,952.6
109.3,140.5,921.3
218.6,-93.7,937.0
156.2,-140.5,1015.0
-93.7,46.8,1093.1
-187.4,-109.3,1061.9
-140.5,31.2,1030.7
109.3,78.1,983.8
249.9,-109.3,890.1
140.5,62.5,1077.5
-93.7,-62.5,983.8
-78.1,-109.3,1108.7
-109.3,187.4,952.6
0.0,62.5,1046.3
62.5,-62.5,874.5
171.8,0.0,921.3
187.4,-156.2,1046.3
-46.8,93.7,968.2
-218.6,78.1,952.6
15.6,-124.9,968.2
109.3,171.8,890.1
218.6,-156.2,937.0
140.5,-140.5,1030.7
0.0,78.1,983.8
-203.0,-109.3,1108.7
-78.1,15.6,890.1
46.8,62.5,1015.0
156.2,-78.1,905.7
203.0,140.5,1046.3
-156.2,-156.2,983.8
-78.1,-109.3,1124.4
-78.1,171.8,952.6
0.0,-62.5,968.2
78.1,15.6,858.9
156.2,62.5,1093.1
140.5,-140.5,999.4
-15.6,46.8,1046.3
-249.9,-93.7,1030.7
31.2,-93.7,937.0
124.9,140.5,952.6
234.2,-171.8,952.6
171.8,-140.5,1077.5
-62.5,93.7,952.6
-234.2,-124.9,1140.0
-93.7,-15.6,858.9
78.1,124.9,999.4
234.2,-78.1,921.3
187.4,-31.2,1030.7
-140.5,-124.9,983.8
-46.8,-93.7,1155.6
-124.9,124.9,921.3
0.0,109.3,1030.7
187.4,-109.3,858.9
203.0,156.2,983.8
0.0,-140.5,999.4
-78.1,31.2,1124.4
-140.5,62.5,983.8
62.5,-31.2,999.4
109.3,140.5,968.2
187.4,-31.2,999.4
187.4,-140.5,1061.9
-46.8,109.3,999.4
-218.6,-124.9,937.0
-62.5,-62.5,983.8
124.9,140.5,937.0
203.0,-93.7,921.3
140.5,-62.5,999.4
-140.5,-31.2,983.8
-109.3,-124.9,1046.3
-109.3,78.1,999.4
15.6,93.7,1046.3
265.5,-109.3,983.8
187.4,78.1,1046.3
-62.5,-156.2,921.3
-109.3,-93.7,1108.7
-93.7,234.2,874.5
15.6,-15.6,983.8
109.3,-78.1,858.9
156.2,15.6,999.4
62.5,-140.5,983.8
-31.2,109.3,937.0
-234.2,31.2,921.3
-15.6,-31.2,1046.3
156.2,171.8,968.2
187.4,-156.2,905.7
140.5,-109.3,1030.7
0.0,0.0,1061.9
-171.8,-109.3,1093.1
-109.3,78.1,1030.7
109.3,109.3,1046.3
249.9,-124.9,890.1
156.2,78.1,1030.7
-31.2,-62.5,999.4
-78.1,-109.3,1171.2
-109.3,203.0,780.8
31.2,46.8,1015.0
140.5,-62.5,890.1
218.6,156.2,937.0
31.2,-156.2,1030.7
-46.8,-15.6,1061.9
